DAY	1-Jul	2-Jul	3-Jul	4-Jul	5-Jul	6-Jul	7-Jul	8-Jul	9-Jul	10-Jul	11-Jul	12-Jul	13-Jul	14-Jul	15-Jul	16-Jul	17-Jul	18-Jul	19-Jul	20-Jul	21-Jul	22-Jul	23-Jul	24-Jul	25-Jul	26-Jul	27-Jul	28-Jul	29-Jul	30-Jul	31-Jul	1-Aug	2-Aug	3-Aug	4-Aug	5-Aug	6-Aug	7-Aug	8-Aug	9-Aug	10-Aug	11-Aug	12-Aug	13-Aug	14-Aug	15-Aug	16-Aug	17-Aug	18-Aug	19-Aug	20-Aug	21-Aug	22-Aug	23-Aug	24-Aug	25-Aug	26-Aug	27-Aug	28-Aug	29-Aug	30-Aug	31-Aug	1-Sep	2-Sep	3-Sep	4-Sep	5-Sep	6-Sep	7-Sep	8-Sep	9-Sep	10-Sep	11-Sep	12-Sep	13-Sep	14-Sep	15-Sep	16-Sep	17-Sep	18-Sep	19-Sep	20-Sep	21-Sep	22-Sep	23-Sep	24-Sep	25-Sep	26-Sep	27-Sep	28-Sep	29-Sep	30-Sep	1-Oct	2-Oct	3-Oct	4-Oct	5-Oct	6-Oct	7-Oct	8-Oct	9-Oct	10-Oct	11-Oct	12-Oct	13-Oct	14-Oct	15-Oct	16-Oct	17-Oct	18-Oct	19-Oct	20-Oct	21-Oct	22-Oct	23-Oct	24-Oct	25-Oct	26-Oct	27-Oct	28-Oct	29-Oct	30-Oct	31-Oct
1996	98	97	97	90	89	93	93	91	93	93	90	91	93	93	82	91	96	95	96	99	91	95	91	93	84	84	82	79	90	91	87	86	90	84	91	93	88	91	84	90	89	88	86	84	86	89	90	91	91	90	89	90	91	91	91	84	88	84	86	88	84	82	80	73	87	84	87	89	89	89	91	84	86	88	78	79	86	82	82	78	79	79	78	81	84	84	87	84	79	75	72	64	66	72	84	70	66	64	60	78	70	72	69	69	73	79	81	80	82	66	63	68	79	81	69	73	73	75	75	81	82	82	81
1997	86	90	93	91	84	84	75	87	84	87	84	88	86	90	91	91	89	89	89	90	89	84	87	88	89	89	91	91	89	88	72	80	84	88	89	88	84	84	80	73	80	86	88	88	87	88	91	91	89	89	88	82	79	81	82	84	87	90	90	91	91	88	88	91	93	81	81	82	86	88	84	80	82	86	87	87	88	88	90	88	91	95	89	70	80	82	66	70	64	68	77	86	75	73	75	78	81	82	82	82	80	82	82	79	80	68	63	57	66	64	69	70	70	62	63	62	75	71	57	55	64	66	60
1998	91	88	91	91	91	89	93	95	95	91	91	86	88	87	91	87	90	91	95	91	91	89	91	91	86	88	80	88	89	90	86	86	82	84	86	90	89	89	86	82	87	88	84	86	80	82	86	84	87	90	79	84	87	87	88	90	91	89	90	93	93	91	87	84	77	90	91	89	90	89	79	78	81	84	89	87	87	88	87	82	80	82	82	88	84	81	82	84	87	80	75	75	86	78	77	82	82	73	82	69	72	73	78	78	78	75	79	78	77	78	82	75	73	63	63	72	75	79	79	79	78	82	79
1999	84	82	87	88	90	91	82	86	87	87	82	77	73	81	81	86	82	87	88	90	90	91	93	93	91	93	93	93	93	97	99	96	93	88	89	91	93	93	93	91	90	96	98	97	98	93	93	96	98	98	89	91	91	90	80	82	89	88	90	91	91	84	88	91	84	93	96	96	91	91	77	87	87	87	86	87	89	81	81	82	79	68	79	72	75	78	81	82	78	80	77	71	73	75	84	71	73	71	73	73	72	72	73	70	64	75	73	77	80	71	66	60	64	73	57	59	64	69	75	73	72	75	75
2000	89	91	93	95	96	96	96	91	96	99	96	93	91	93	93	93	91	97	100	99	93	96	87	82	75	82	88	91	89	87	86	86	81	84	88	91	91	91	91	96	95	89	89	89	89	94	97	99	101	101	97	87	86	88	92	92	90	90	92	92	88	87	79	81	82	87	81	66	66	75	80	82	84	86	87	86	80	75	73	73	84	87	77	73	81	84	82	68	71	75	73	75	77	79	82	81	82	73	66	55	55	64	71	73	75	75	77	80	80	80	73	73	75	79	75	75	78	75	78	80	75	77	78
2001	84	87	87	84	86	87	87	89	91	87	90	90	86	82	82	84	87	88	90	87	84	87	90	84	82	88	90	84	89	89	87	84	84	84	86	88	84	86	88	87	88	86	86	81	87	84	90	91	91	87	86	88	90	88	93	90	91	91	81	86	81	82	80	75	73	81	90	88	87	86	86	89	87	84	84	86	77	77	81	81	82	84	86	87	88	69	66	72	75	78	71	71	75	80	81	80	79	70	68	79	66	73	75	78	78	75	75	62	60	64	71	75	79	80	81	79	73	64	51	55	63	72	71
2002	90	90	87	89	93	93	89	89	90	91	84	77	82	88	91	93	93	93	93	91	95	91	89	87	84	86	89	91	91	88	90	93	91	91	91	93	97	87	87	86	88	89	91	91	89	88	90	91	93	91	93	93	91	95	93	91	88	84	82	82	78	77	84	84	89	95	93	91	88	87	91	95	95	90	75	78	91	88	86	81	80	86	84	77	82	73	69	75	75	79	73	79	82	84	84	82	87	86	80	71	66	70	78	84	79	68	57	66	64	68	71	73	71	64	59	68	60	68	69	75	75	68	60
2003	73	81	87	86	80	84	87	90	89	84	84	86	87	84	86	88	88	88	88	88	89	86	81	82	84	87	87	89	88	84	88	84	84	84	82	84	82	84	84	86	87	84	81	87	89	90	86	89	90	90	87	88	88	90	89	88	89	90	91	89	88	89	88	86	87	87	84	73	75	81	82	79	80	81	84	82	82	81	81	81	84	87	82	75	81	80	82	82	82	73	66	71	72	68	66	77	78	75	73	73	73	73	66	78	78	78	69	72	68	70	75	78	84	78	78	73	73	68	64	57	70	77	75
2004	82	81	86	88	90	90	89	87	88	89	90	89	91	91	84	84	84	87	84	88	89	89	93	95	89	87	84	89	87	89	90	91	90	91	91	90	84	81	82	84	75	82	80	77	82	82	84	86	86	89	88	82	84	84	87	82	86	88	90	87	88	87	82	80	81	82	84	81	86	73	84	84	84	81	79	79	73	75	80	79	78	73	75	80	84	82	81	79	72	78	78	80	82	82	80	81	80	75	75	73	71	71	77	73	64	63	62	71	75	73	68	71	73	73	70	73	78	79	81	78	75	78	82
2005	91	89	86	86	89	82	76	88	89	78	83	86	84	87	84	85	89	90	89	89	90	91	91	90	92	94	92	90	83	78	84	82	86	88	91	88	86	80	82	85	83	87	88	86	90	92	89	90	90	89	92	94	93	87	85	84	84	86	86	85	85	85	85	88	87	85	81	81	83	85	86	84	84	86	88	88	91	88	86	88	90	90	90	86	87	88	85	77	86	85	85	82	83	85	83	85	81	72	72	73	70	77	82	74	77	78	79	76	75	81	83	83	80	67	70	56	54	61	63	62	64	69	70
2006	93	93	93	91	90	81	80	82	84	84	90	91	91	91	91	91	93	93	96	93	93	91	86	87	88	93	95	96	91	91	94	95	95	97	98	96	89	97	96	95	96	88	84	81	87	86	89	86	88	88	93	91	88	87	83	85	88	88	90	90	88	80	85	86	85	88	83	85	80	83	83	85	84	82	70	80	82	83	85	85	79	73	75	82	86	84	75	78	79	81	70	75	83	81	82	84	86	76	72	72	79	80	80	71	62	69	70	59	71	77	76	69	69	70	53	56	55	62	66	63	72	73	68
2007	95	85	82	86	88	87	82	82	89	86	85	87	86	84	81	86	89	89	88	86	86	79	82	87	87	87	90	89	87	92	90	92	92	94	97	96	98	98	100	103	103	100	90	100	99	102	101	101	97	95	96	99	104	98	95	94	92	88	88	89	89	86	84	83	88	91	89	85	86	88	89	89	89	86	85	81	82	76	78	79	82	81	78	86	83	89	87	84	85	85	81	79	80	82	77	80	81	82	83	83	81	81	67	72	74	78	78	76	82	77	76	75	78	72	81	59	61	68	67	70	62	67	71
2008	85	87	91	90	88	82	88	90	89	87	89	93	85	88	89	89	88	90	91	94	95	92	87	88	89	87	90	93	92	90	88	89	92	91	91	92	94	90	86	85	85	88	81	81	84	87	86	85	86	90	90	85	82	78	83	78	83	80	86	89	89	88	81	85	83	85	88	87	89	90	88	87	83	87	86	88	79	80	69	82	81	79	75	84	82	78	82	80	77	86	86	86	74	74	80	83	83	82	82	72	75	77	78	77	77	80	81	83	69	67	65	66	72	68	62	54	67	70	59	50	59	65	67
2009	95	90	89	91	80	87	86	82	84	84	86	90	84	89	89	90	88	82	80	82	86	84	87	88	90	92	90	89	85	82	85	89	83	90	92	92	89	91	92	93	93	95	86	90	90	90	88	87	88	90	88	88	85	81	86	87	90	83	75	86	79	79	71	78	79	83	83	85	84	87	84	80	75	81	80	82	79	82	73	80	74	81	79	84	83	85	87	85	80	83	72	74	76	75	76	74	62	71	79	80	85	74	77	66	73	66	61	61	51	55	61	68	71	74	72	69	65	65	60	71	75	66	69
2010	87	84	83	85	88	89	94	97	96	90	93	90	91	91	94	89	87	83	90	91	94	95	97	94	95	95	93	90	94	95	95	96	84	92	95	93	93	91	93	94	94	95	95	96	89	90	90	91	93	92	93	93	94	93	90	89	90	89	87	84	85	89	90	91	92	84	85	90	91	93	92	94	96	89	86	91	91	89	95	93	92	96	95	92	91	88	93	76	81	76	79	76	79	78	68	67	70	73	81	82	85	86	86	80	80	73	78	76	80	78	82	77	80	78	76	81	76	85	76	74	68	71	75
2011	92	94	95	92	90	90	94	94	91	92	95	95	97	90	80	85	87	89	94	91	92	94	92	92	90	94	94	90	93	96	96	91	96	97	85	96	93	93	94	91	95	94	95	95	94	88	90	92	94	96	93	94	98	92	93	95	99	95	95	93	90	92	95	96	95	80	78	75	69	73	81	84	86	87	89	92	86	72	79	77	77	82	86	80	83	82	88	86	84	79	84	78	65	68	75	80	83	81	79	78	72	68	65	73	74	77	80	84	85	80	67	59	63	68	70	73	76	77	79	74	59	61	65
2012	105	93	99	98	100	98	93	95	97	95	90	84	90	90	90	92	93	93	91	84	90	95	97	97	98	98	97	97	94	96	88	94	99	94	87	90	86	84	92	88	87	85	88	91	88	85	91	87	87	84	84	88	84	88	86	85	90	90	80	86	80	89	91	89	85	77	85	85	92	88	83	84	83	81	81	83	87	86	83	79	81	79	85	87	81	78	82	86	88	86	84	72	75	72	74	82	82	83	68	63	70	73	75	79	75	77	77	74	75	74	73	71	76	79	78	79	80	80	70	56	56	56	65
2013	82	85	76	77	83	83	79	88	88	87	80	87	78	85	86	87	91	87	90	86	87	85	84	86	89	86	82	86	86	90	80	87	89	88	90	88	88	86	83	89	90	90	90	89	83	73	67	66	77	82	84	84	88	90	84	82	82	86	90	92	87	90	90	84	90	89	89	88	88	91	90	89	89	90	87	82	84	89	79	78	84	86	73	82	82	71	67	78	79	77	76	77	82	82	82	85	84	84	74	72	76	80	79	81	82	77	68	74	72	73	63	70	72	69	63	66	56	61	69	64	75	78	74
2014	90	93	87	84	86	87	89	90	90	87	85	90	89	90	86	83	86	82	85	76	82	83	88	87	88	89	92	90	82	84	85	81	84	88	90	89	92	95	90	89	86	83	88	84	85	87	88	89	89	86	89	92	93	93	88	84	86	88	91	92	88	89	90	90	92	82	89	91	90	84	84	86	90	92	86	78	80	86	86	85	84	83	87	82	77	78	77	74	78	74	71	84	86	85	78	65	71	78	82	86	86	86	86	85	85	75	69	70	80	76	73	73	77	70	72	74	77	84	84	77	73	68	63
